"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Área de atuação (Função)";"Programa de Governo";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"09/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"152140 - IFB - CAMPUS TAGUATINGA NORTE";"12 - Educação";"00 - NAO ATRIBUIDO";"174.823,37";"139.595,99";"136.769,24";"0,00";
"09/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"158143 - IFB - REITORIA - BRASÍLIA-DF";"09 - Previdência social";"00 - NAO ATRIBUIDO";"167.490,71";"167.490,71";"139.897,43";"0,00";
"09/2019";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"150002 - SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MEC";"12 - Educação";"00 - NAO ATRIBUIDO";"6.797.785,09";"14.149.199,14";"15.232.972,50";"1.321.515,59";
"09/2019";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"364102 - CONSELHO NAC DE DESENV CIENT E TECNOLOGICO";"19 - Ciência e Tecnologia";"00 - NAO ATRIBUIDO";"0,00";"6.558.618,95";"6.605.802,26";"1.494,23";
"09/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"257001 - DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE";"10 - Saúde";"00 - NAO ATRIBUIDO";"19.894.517,50";"78.409.448,17";"78.409.448,17";"0,00";
"09/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160122 - 55 BATALHAO DE INFANTARIA";"12 - Educação";"00 - NAO ATRIBUIDO";"27.863,69";"0,00";"0,00";"0,00";
"09/2019";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"303001 - CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA";"09 - Previdência social";"00 - NAO ATRIBUIDO";"2.447,40";"57.693,26";"58.345,90";"0,00";
"09/2019";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"323103 - AGÊNCIA NACIONAL DE MINERAÇÃO - ANM - FOPAG";"22 - Indústria";"00 - NAO ATRIBUIDO";"20.000.000,00";"15.898.021,60";"16.185.051,97";"0,00";
"09/2019";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"154003 - FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"12 - Educação";"00 - NAO ATRIBUIDO";"- 1.023.508,84";"14.244.848,31";"13.772.266,08";"1.370.889,68";
"09/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"170394 - FCDF±SSP±CORPO BOMBEIRO MILITAR DO DF";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"102.735.403,67";"101.441.054,79";"98.730.350,26";"164.852,04";
"09/2019";"20000 - Presidência da República";"20101 - Presidência da República";"110537 - AGENCIA BRASILEIRA DE INTELIGÊNCIA";"06 - Segurança pública";"00 - NAO ATRIBUIDO";"635.914,00";"1.088.440,25";"1.084.161,44";"0,00";
"09/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"170484 - FCDF-PMDF-DEPARTAMENTO DE GESTÃO DE PESSOAL";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"214.093.393,06";"214.180.798,08";"209.772.720,74";"307.622,85";
"09/2019";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"110404 - DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"05 - Defesa nacional";"00 - NAO ATRIBUIDO";"717.896,50";"6.047.111,46";"6.044.645,55";"3.343,04";
"09/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"154040 - FUNDACAO UNIVERSIDADE DE BRASILIA - FUB";"02 - Judiciária";"00 - NAO ATRIBUIDO";"40.050,00";"476.528,29";"836.528,29";"0,00";
"09/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"154040 - FUNDACAO UNIVERSIDADE DE BRASILIA - FUB";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"35.366.612,26";"35.318.782,25";"0,00";
"09/2019";"26000 - Ministério da Educação";"26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";"153978 - INST.NACIONAL DE EST.E PESQUISAS EDUCACIONAIS";"12 - Educação";"00 - NAO ATRIBUIDO";"7.253.663,06";"14.279.587,48";"14.350.022,57";"7.019,45";
"09/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"154040 - FUNDACAO UNIVERSIDADE DE BRASILIA - FUB";"12 - Educação";"00 - NAO ATRIBUIDO";"15.949.631,95";"103.777.826,15";"103.663.642,58";"2.318.491,48";
"09/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"158143 - IFB - REITORIA - BRASÍLIA-DF";"12 - Educação";"00 - NAO ATRIBUIDO";"15.224.065,18";"15.283.388,99";"15.474.736,63";"736.397,71";
"09/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"158501 - IFB - CAMPUS PLANALTINA";"12 - Educação";"00 - NAO ATRIBUIDO";"588.847,91";"447.309,58";"313.454,93";"26.650,62";
"09/2019";"30000 - Ministério da Justiça e Segurança Pública";"30000 - Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"200006 - COORDENACAO-GERAL DE GESTÃO DE PESSOAS-CGGP";"06 - Segurança pública";"00 - NAO ATRIBUIDO";"- 1.491.280,28";"5.376.884,17";"5.586.412,76";"0,00";
"09/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"152145 - IFB - CAMPUS CEILÂNDIA";"12 - Educação";"00 - NAO ATRIBUIDO";"113.376,13";"202.146,63";"123.268,93";"124.870,55";
"09/2019";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"203001 - AGENCIA ESPACIAL BRASILEIRA/AEB";"19 - Ciência e Tecnologia";"00 - NAO ATRIBUIDO";"23.000,00";"1.066.608,05";"1.107.274,36";"0,00";
"09/2019";"32000 - Ministério de Minas e Energia";"32000 - Ministério de Minas e Energia - Unidades com vínculo direto";"320005 - COORD.GERAL DE RECURSOS HUMANOS/M.M.E";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"7.550.583,10";"7.566.736,10";"0,00";
"09/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"152144 - IFB - CAMPUS SÃO SEBASTIÃO";"12 - Educação";"00 - NAO ATRIBUIDO";"- 4.826,16";"188.546,15";"149.257,62";"0,00";
