"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Área de atuação (Função)";"Programa de Governo";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250021 - NUCLEO ESTADUAL DO MS/GO";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"18.013,85";"18.013,85";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250036 - NUCLEO ESTADUAL DO MS/SC";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"25.599,26";"25.599,26";"0,00";
"08/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"154019 - CENTRO DE APOIO AO DESENVOLV. TECNOLOGICO-CDT";"01 - Legislativa";"00 - NAO ATRIBUIDO";"0,00";"117.243,70";"109.743,14";"0,00";
"08/2019";"55000 - Ministério da Cidadania";"55000 - Ministério da Cidadania - Unidades com vínculo direto";"550006 - COORDENACAO GERAL DE GESTAO DE PESSOAS/MC";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"0,00";"4.990,00";"9.980,00";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160093 - 38  BATALHAO DE INFANTARIA";"12 - Educação";"00 - NAO ATRIBUIDO";"12.895,76";"0,00";"0,00";"0,00";
"08/2019";"32000 - Ministério de Minas e Energia";"32263 - Departamento Nacional de Produção Mineral";"323002 - DEPARTAMENTO NAC. DE PRODUCAO MINERAL - SEDE";"22 - Indústria";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"218.595,34";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160111 - COMANDO DA 4A BDA DE INFANTARIA LEVE MONTANHA";"12 - Educação";"00 - NAO ATRIBUIDO";"9.369,08";"0,00";"0,00";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160014 - COMANDO 12 REGIAO MILITAR";"12 - Educação";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"1.248,09";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160498 - 2º BATALHAO DE INFANTARIA LEVE";"12 - Educação";"00 - NAO ATRIBUIDO";"34.969,51";"0,00";"0,00";"0,00";
"08/2019";"55000 - Ministério da Cidadania";"55000 - Ministério da Cidadania - Unidades com vínculo direto";"420029 - SECRETARIA DA DIVERSIDADE CULTURAL/DIV";"13 - Cultura";"00 - NAO ATRIBUIDO";"1.349.943,42";"0,00";"0,00";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250027 - NUCLEO ESTADUAL DO MS/PB";"10 - Saúde";"00 - NAO ATRIBUIDO";"170.000,00";"24.488,45";"24.488,45";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160160 - 51 BATALHAO DE INFANTARIA DE SELVA";"12 - Educação";"00 - NAO ATRIBUIDO";"36.899,05";"0,00";"0,00";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250032 - NUCLEO ESTADUAL DO MS/RN";"10 - Saúde";"00 - NAO ATRIBUIDO";"70.000,00";"7.386,91";"11.712,02";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250028 - NUCLEO ESTADUAL DO MS/PR";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"14.581,34";"14.581,34";"0,00";
"08/2019";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"370002 - COORDENçãO-GERAL DE GESTãO DE PESSOAS";"12 - Educação";"00 - NAO ATRIBUIDO";"0,00";"0,00";"4.000,00";"0,00";
"08/2019";"25000 - Ministério da Economia";"25000 - Ministério da Economia - Unidades com vínculo direto";"170597 - DPTO CENTRAL.SERV. DE INATIVOS E PENSIONISTAS";"04 - Administração";"00 - NAO ATRIBUIDO";"0,00";"116.146,58";"116.606,24";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160202 - 3º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO";"12 - Educação";"00 - NAO ATRIBUIDO";"9.857,13";"0,00";"0,00";"0,00";
"08/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"152147 - IFB - CAMPUS RIACHO FUNDO";"12 - Educação";"00 - NAO ATRIBUIDO";"251.382,04";"103.709,77";"132.321,13";"14.240,83";
"08/2019";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"395001 - EMPRESA DE PLANEJAMENTO E LOGISTICA S.A - EPL";"26 - Transporte";"Sem informação";"0,00";"0,00";"0,00";"687,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160474 - 4  BATALHAO DE INFANTARIA LEVE";"12 - Educação";"00 - NAO ATRIBUIDO";"169.545,09";"0,00";"0,00";"3.970,86";
"08/2019";"26000 - Ministério da Educação";"26254 - Universidade Federal do Triângulo Mineiro";"150221 - HOSPITAL DE CLÍNICAS DA UFTM";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"3.545,00";
"08/2019";"35000 - Ministério das Relações Exteriores";"35000 - Ministério das Relações Exteriores - Unidades com vínculo direto";"240053 - CONSULADO-GERAL DO BRASIL EM BOSTON";"02 - Judiciária";"00 - NAO ATRIBUIDO";"2.241,60";"2.241,60";"2.241,60";"0,00";
"08/2019";"26000 - Ministério da Educação";"26245 - Universidade Federal do Rio de Janeiro";"153115 - UNIVERSIDADE FEDERAL DO RIO DE JANEIRO";"12 - Educação";"00 - NAO ATRIBUIDO";"- 1.060,00";"0,00";"0,00";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160206 - 30 BATALHAO DE INFANTARIA MECANIZADO";"12 - Educação";"00 - NAO ATRIBUIDO";"2.991,35";"0,00";"0,00";"0,00";
"08/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"170395 - FCDF±SSP ± POLICIA CIVIL DO DF";"09 - Previdência social";"00 - NAO ATRIBUIDO";"75.988.097,00";"75.953.722,27";"77.681.164,97";"0,00";
"08/2019";"30000 - Ministério da Justiça e Segurança Pública";"30108 - Departamento de Polícia Federal";"200406 - DIRETORIA TECNICO-CIENTIFICA-DITEC/DPF";"06 - Segurança pública";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"1.055.611,70";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160130 - 36º BATALHãO DE INFANTARIA MECANIZADO";"12 - Educação";"00 - NAO ATRIBUIDO";"4.818,25";"0,00";"0,00";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160348 - 5 BATALHAO DE ENGENHARIA DE CONSTRUCAO";"12 - Educação";"00 - NAO ATRIBUIDO";"42.280,62";"0,00";"0,00";"0,00";
"08/2019";"26000 - Ministério da Educação";"26237 - Universidade Federal de Juiz de Fora";"153061 - UNIVERSIDADE FEDERAL DE JUIZ DE FORA";"12 - Educação";"00 - NAO ATRIBUIDO";"55.108,58";"0,00";"0,00";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250024 - NUCLEO ESTADUAL DO MS/MS";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"6.132,15";"998,00";"0,00";
"08/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"170394 - FCDF±SSP±CORPO BOMBEIRO MILITAR DO DF";"04 - Administração";"00 - NAO ATRIBUIDO";"16.460.251,07";"16.416.333,19";"16.129.809,99";"0,00";
"08/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"154106 - HOSPITAL UNIVERSITARIO DE BRASILIA - HUB";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"98.561,64";"98.561,64";"0,00";
"08/2019";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"135038 - EMBRAPA/CENARGEN";"20 - Agricultura";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"24.000,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160524 - 15 BATALHAO LOGISTICO";"12 - Educação";"00 - NAO ATRIBUIDO";"7.500,00";"0,00";"0,00";"0,00";
"08/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"154040 - FUNDACAO UNIVERSIDADE DE BRASILIA - FUB";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"890.052,23";
"08/2019";"25000 - Ministério da Economia";"25000 - Ministério da Economia - Unidades com vínculo direto";"201013 - COORDENACAO DE EXECUCAO ORC. E FINANCEIRA";"04 - Administração";"00 - NAO ATRIBUIDO";"0,00";"261.484,72";"261.484,72";"0,00";
"08/2019";"55000 - Ministério da Cidadania";"55000 - Ministério da Cidadania - Unidades com vínculo direto";"550009 - SECR. NAC. DE CUIDADOS E PREV. AS DROGAS";"14 - Direitos da cidadania";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"1.412.387,00";
"08/2019";"53000 - Ministério do Desenvolvimento Regional";"53000 - Ministério do Desenvolvimento Regional - Unidades com vínculo direto";"175004 - CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS";"15 - Urbanismo";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"122.925,00";
"08/2019";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"364102 - CONSELHO NAC DE DESENV CIENT E TECNOLOGICO";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"9.769.361,96";"9.763.170,24";"0,00";
"08/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"170485 - DEPARTAMENTO DE SAÚDE E ASSIST. DE PESSOAL";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"- 192.700,91";"22.730.621,72";"22.039.897,73";"2.055.251,78";
"08/2019";"39000 - Ministério da Infraestrutura";"39252 - Departamento Nacional de Infraestrutura de Transportes";"393003 - DEPART.NAC.INFRA ESTRUTURA TRANSPORTES.";"26 - Transporte";"00 - NAO ATRIBUIDO";"0,00";"213.742,48";"4.617.177,12";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160482 - COMANDO/1A BRIGADA DE INFANTARIA DE SELVA";"12 - Educação";"00 - NAO ATRIBUIDO";"22.294,69";"0,00";"0,00";"0,00";
"08/2019";"55000 - Ministério da Cidadania";"55000 - Ministério da Cidadania - Unidades com vínculo direto";"550006 - COORDENACAO GERAL DE GESTAO DE PESSOAS/MC";"09 - Previdência social";"00 - NAO ATRIBUIDO";"785,62";"2.544.345,06";"3.257.649,06";"0,00";
"08/2019";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"323028 - AGENCIA NACIONAL DE ENERGIA ELETRICA";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"315.254,41";"315.254,41";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250019 - NUCLEO ESTADUAL DO MS/ES";"10 - Saúde";"00 - NAO ATRIBUIDO";"50.000,00";"24.630,89";"24.630,89";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160033 - 19º BATALHÃO DE CACADORES";"12 - Educação";"00 - NAO ATRIBUIDO";"11.610,45";"0,00";"0,00";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160433 - 19 BATALHAO DE INFANTARIA MOTORIZADO";"12 - Educação";"00 - NAO ATRIBUIDO";"15.452,21";"0,00";"0,00";"0,00";
"08/2019";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"443001 - AGENCIA NACIONAL DE AGUAS - COGEF/SAF/ANA";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"255.129,89";"255.129,89";"0,00";
"08/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"170394 - FCDF±SSP±CORPO BOMBEIRO MILITAR DO DF";"09 - Previdência social";"00 - NAO ATRIBUIDO";"10.780.324,40";"10.778.023,61";"10.757.556,78";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250006 - COORDENACAO-GERAL DE GESTAO DE PESSOAS";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"0,00";"333.069,18";"327.645,96";"0,00";
"08/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"154040 - FUNDACAO UNIVERSIDADE DE BRASILIA - FUB";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"35.318.782,25";"34.596.341,47";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"112408 - HOSPITAL DAS FORCAS ARMADAS";"05 - Defesa nacional";"Sem informação";"0,00";"473.884,55";"463.658,07";"0,00";
"08/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"170397 - FCDF - SECRETARIA DE SAUDE";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"320.000.000,00";"291.221.593,04";"291.221.593,04";"0,00";
"08/2019";"26000 - Ministério da Educação";"26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";"153978 - INST.NACIONAL DE EST.E PESQUISAS EDUCACIONAIS";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"587.142,13";"572.880,03";"0,00";
"08/2019";"55000 - Ministério da Cidadania";"34902 - Fundo Nacional de Cultura";"340029 - SECRETARIA DA DIVERSIDADE CULTURAL/DIV/FNC";"13 - Cultura";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"300.000,00";
"08/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"152143 - IFB - CAMPUS RECANTO DAS EMAS";"12 - Educação";"00 - NAO ATRIBUIDO";"118.446,97";"61.641,27";"77.211,79";"10.811,81";
"08/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"152141 - IFB - CAMPUS SAMAMBAIA";"12 - Educação";"00 - NAO ATRIBUIDO";"206.436,99";"112.694,88";"150.444,88";"16.225,88";
"08/2019";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Departamento de Polícia Rodoviária Federal";"200141 - SUPERINTENDENCIA REG. POL. RODV. FEDERAL-DF";"06 - Segurança pública";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"400.000,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160388 - 3 REGIMENTO DE CAVALARIA DE GUARDA";"12 - Educação";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"1.285,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250106 - HOSPITAL FEDERAL DO ANDARAI";"10 - Saúde";"00 - NAO ATRIBUIDO";"3.844,58";"3.844,58";"3.844,58";"0,00";
"08/2019";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"244001 - FUNDACAO ALEXANDRE DE GUSMAO";"07 - Relações exteriores";"00 - NAO ATRIBUIDO";"0,00";"42.359,67";"41.871,25";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250023 - NUCLEO ESTADUAL DO MS/MT";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"5.768,01";"5.768,01";"0,00";
"08/2019";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"323103 - AGÊNCIA NACIONAL DE MINERAÇÃO - ANM - FOPAG";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"4.902.382,67";"4.828.150,57";"0,00";
"08/2019";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"203001 - AGENCIA ESPACIAL BRASILEIRA/AEB";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"30.554,89";"30.554,89";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160118 - COMANDO DA 4ª REGIÃO MILITAR";"12 - Educação";"00 - NAO ATRIBUIDO";"47.028,70";"0,00";"0,00";"0,00";
"08/2019";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"153173 - FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"5.297.760,77";"5.305.887,71";"0,00";
"08/2019";"55000 - Ministério da Cidadania";"55000 - Ministério da Cidadania - Unidades com vínculo direto";"180006 - CEF/MINISTERIO DO ESPORTE";"27 - Desporto e lazer";"Sem informação";"0,00";"0,00";"0,00";"104.422,50";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160343 - 7º BATALHÃO DE ENGENHARIA DE COMBATE";"12 - Educação";"00 - NAO ATRIBUIDO";"62.296,68";"0,00";"0,00";"113,14";
"08/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"170399 - FCDF - SECRETARIA DE EDUCACAO";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"198.000.000,00";"226.778.406,96";"226.778.406,96";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250025 - NUCLEO ESTADUAL DO MS/MG";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"69.761,23";"77.636,32";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"787000 - COMANDO DO 7.DN";"05 - Defesa nacional";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"18.281,62";
"08/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"170484 - FCDF-PMDF-DEPARTAMENTO DE GESTÃO DE PESSOAL";"09 - Previdência social";"00 - NAO ATRIBUIDO";"21.793.283,63";"21.799.207,67";"21.326.146,30";"0,00";
"08/2019";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"20129 - Secretaria Especial de Agricultura Familiar e do Desenvolvimento Agrário ";"110669 - SDR/SEAD - CEF";"21 - Organização agrária";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"0,00";
"08/2019";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA";"04 - Administração";"00 - NAO ATRIBUIDO";"99.354,13";"599.224,53";"599.572,59";"0,00";
"08/2019";"30000 - Ministério da Justiça e Segurança Pública";"30000 - Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"200325 - COORDENAÇÃO DE GESTÃO DE PESSOAS - DEPEN";"06 - Segurança pública";"00 - NAO ATRIBUIDO";"0,00";"1.564.863,12";"1.539.718,19";"0,00";
"08/2019";"44000 - Ministério do Meio Ambiente";"44000 - Ministério do Meio Ambiente - Unidades com vínculo direto";"440001 - SUBSECRET.DE PLANEJ.,ORC.E ADMINIST.±SPOA/MMA";"09 - Previdência social";"00 - NAO ATRIBUIDO";"3.738.793,00";"1.150.869,30";"1.147.349,30";"0,00";
"08/2019";"20000 - Presidência da República";"20101 - Presidência da República";"110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"04 - Administração";"00 - NAO ATRIBUIDO";"2.077.809,98";"995.263,01";"999.374,85";"0,00";
"08/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"170495 - FCDF - CBMDF - ASSISTENCIA MEDICA";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"13.834.538,50";"7.778.489,02";"7.786.067,36";"159.134,49";
"08/2019";"30000 - Ministério da Justiça e Segurança Pública";"30000 - Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"200006 - COORDENACAO-GERAL DE GESTÃO DE PESSOAS-CGGP";"14 - Direitos da cidadania";"00 - NAO ATRIBUIDO";"0,00";"818.630,65";"818.630,65";"0,00";
"08/2019";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"154003 - FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"1.749.082,97";"1.760.683,21";"0,00";
"08/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"154040 - FUNDACAO UNIVERSIDADE DE BRASILIA - FUB";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"0,00";"332,66";"332,66";"0,00";
"08/2019";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"114702 - FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA";"04 - Administração";"00 - NAO ATRIBUIDO";"101.413,16";"4.069.017,32";"4.043.163,99";"204,38";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160103 - 50 BATALHAO DE INFANTARIA DE SELVA";"12 - Educação";"00 - NAO ATRIBUIDO";"37.152,92";"0,00";"0,00";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250026 - NUCLEO ESTADUAL DO MS/PA";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"20.822,94";"20.822,94";"0,00";
"08/2019";"55000 - Ministério da Cidadania";"55000 - Ministério da Cidadania - Unidades com vínculo direto";"550005 - COORDENACAO GERAL DE LICITACOES E CONTRATOS.";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"0,00";"14.568,89";"14.568,89";"0,00";
"08/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"154078 - EDITORA DA UNIVERSIDADE DE BRASILIA (EDU)";"12 - Educação";"00 - NAO ATRIBUIDO";"19.480,40";"22.669,31";"22.669,31";"60.234,60";
"08/2019";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"150002 - SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MEC";"09 - Previdência social";"00 - NAO ATRIBUIDO";"16.426.004,41";"16.945.881,34";"17.021.607,48";"0,00";
"08/2019";"30000 - Ministério da Justiça e Segurança Pública";"30000 - Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"200006 - COORDENACAO-GERAL DE GESTÃO DE PESSOAS-CGGP";"09 - Previdência social";"00 - NAO ATRIBUIDO";"2.975,92";"9.722.820,27";"9.620.825,39";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"110511 - CENTRO GESTOR OP. SISTEMA PROTECAO AMAZÔNIA";"05 - Defesa nacional";"00 - NAO ATRIBUIDO";"254.971,16";"254.971,16";"265.394,45";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160177 - 71 BATALHAO DE INFANTARIA MOTORIZADO";"12 - Educação";"00 - NAO ATRIBUIDO";"13.350,25";"0,00";"0,00";"0,00";
"08/2019";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"155009 - EBSERH HUB-UNB";"10 - Saúde";"00 - NAO ATRIBUIDO";"6.551.600,33";"6.876.296,67";"4.473.830,18";"21.245,23";
"08/2019";"39000 - Ministério da Infraestrutura";"39000 - Ministério da Infraestrutura - Unidades com vínculo direto";"390007 - COORDENACAO-GERAL DE GESTAO DE PESSOAS";"26 - Transporte";"00 - NAO ATRIBUIDO";"200.000,00";"16.365.198,60";"15.363.500,79";"3.034,59";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250006 - COORDENACAO-GERAL DE GESTAO DE PESSOAS";"09 - Previdência social";"00 - NAO ATRIBUIDO";"307.875,04";"628.240.044,85";"623.833.052,38";"0,00";
"08/2019";"30000 - Ministério da Justiça e Segurança Pública";"30911 - Fundo Nacional de Segurança Pública";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA";"06 - Segurança pública";"00 - NAO ATRIBUIDO";"439.500,00";"0,00";"0,00";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250014 - NUCLEO ESTADUAL DO MS/AP";"10 - Saúde";"00 - NAO ATRIBUIDO";"23.649,11";"4.762,70";"4.762,70";"0,00";
"08/2019";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"154040 - FUNDACAO UNIVERSIDADE DE BRASILIA - FUB";"02 - Judiciária";"00 - NAO ATRIBUIDO";"468.878,30";"360.000,00";"0,00";"0,00";
"08/2019";"39000 - Ministério da Infraestrutura";"39253 - Empresa de Planejamento e Logística S.A.";"395001 - EMPRESA DE PLANEJAMENTO E LOGISTICA S.A - EPL";"26 - Transporte";"00 - NAO ATRIBUIDO";"0,00";"2.461.639,47";"2.350.100,85";"0,00";
"08/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Brasília";"152146 - IFB - CAMPUS ESTRUTURAL";"12 - Educação";"00 - NAO ATRIBUIDO";"150.537,57";"122.535,35";"128.935,60";"16.191,95";
"08/2019";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"153173 - FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO";"12 - Educação";"00 - NAO ATRIBUIDO";"16.106.446,69";"10.775.449,24";"10.190.054,03";"139.718,73";
"08/2019";"25000 - Ministério da Economia";"33206 - Superintendência Nacional de Previdência Complementar";"333002 - COORDENAÇÃO GERAL DE RECURSOS HUMANOS PREVIC";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"0,00";
"08/2019";"30000 - Ministério da Justiça e Segurança Pública";"30000 - Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"200330 - SECRETARIA NACIONAL DE SEG. PÚBLICA - SENASP";"06 - Segurança pública";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"787400 - ESTACAO RADIO DA MARINHA EM BRASILIA";"05 - Defesa nacional";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"0,00";
"08/2019";"55000 - Ministério da Cidadania";"20408 - Fundação Cultural Palmares";"344041 - FCP-FUNDACAO CULTURAL PALMARES";"13 - Cultura";"00 - NAO ATRIBUIDO";"139.000,00";"490.216,92";"459.488,70";"154.025,28";
"08/2019";"25000 - Ministério da Economia";"25000 - Ministério da Economia - Unidades com vínculo direto";"280104 - COORDENACAO-GERAL DE RECURSOS HUMANOS/MDIC";"22 - Indústria";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"0,00";
"08/2019";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI";"04 - Administração";"00 - NAO ATRIBUIDO";"0,00";"861.148,12";"848.835,23";"0,00";
"08/2019";"54000 - Ministério do Turismo";"54000 - Ministério do Turismo - Unidades com vínculo direto";"540004 - COORD. GERAL DE RECURSOS LOGISTICOS - CGRL";"23 - Comércio e serviços";"00 - NAO ATRIBUIDO";"0,00";"2.532.424,43";"2.508.566,60";"0,00";
